asin,title,imgUrl,productURL,stars,reviews,price,isBestSeller,boughtInLastMonth,categoryName
B074P3NK71,Pet Performance No Mess Bird Seed Mix for Wild Birds 20kg - All Year Round Wild Garden Bird Feed - Husk Free With Protein Rich Peanut Granules - 100% Natural Nutritional No Grow Bird Seed,https://m.media-amazon.com/images/I/61KLSUHeziL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B074P3NK71,4.2,405,29.49,False,0,Bird & Wildlife Care
B09GWD8XY1,USB C Cable QC3 1M Type C Charging Cable Compatible with Galaxy S20 Plus S10 S9 S8 Huawei OnePlus Google Pixel Sony Xperia XZ Mac Book iPad Pro GOLD PLATED,https://m.media-amazon.com/images/I/61iljqkdSDL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B09GWD8XY1,4.1,18,2.29,False,50,Cables & Accessories
B00482R1L2,"2"" Single Bed Size Hotel Quality White Goose Feather & Down Mattress Topper, 230TC Down-Proof Cotton Casing, Anti-Dust Mite (3ft, 91cm x 190cm x 5cm) By Littens",https://m.media-amazon.com/images/I/81k2Vv7wcpL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B00482R1L2,4.0,9,49.95,False,0,Bedroom Furniture
B0CH371BN5,"Smart Handheld Inkjet Printer, Lot Number QR Barcode Jet Coding Machine, Portable Permanent Quick Dry (Color : Thai with 1 Ink, Size : 1)",https://m.media-amazon.com/images/I/41vO97CaRHL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0CH371BN5,0.0,0,574.85,False,0,Computer Printers
B00N46UW5U,Black bass guitar top nut 4 string 42mm x 3.5mm,https://m.media-amazon.com/images/I/61r3z0mZcGL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B00N46UW5U,3.4,14,4.95,False,0,Guitars & Gear
B0CH2RFQLY,DBFBDTU Women Wool V Neck Dots Sweaters Pullovers Fall Winter,https://m.media-amazon.com/images/I/61qMhXjpV3L._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0CH2RFQLY,0.0,0,88.36,False,0,Sports & Outdoors
B0B553BQ3S,Errea Women's swimsuit Bessy,https://m.media-amazon.com/images/I/61VgU4FtMTL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0B553BQ3S,0.0,0,27.9,False,0,Sports & Outdoors
B0B7NK5SBF,"Bias&Belief 6"" Selfie Ring Light Heart Shaped, Dimmable Led Ring Light Live Electricity Lamp Ring Light for Makeup Photography Selfie Halo Light Mini Desktop Camera",https://m.media-amazon.com/images/I/41V6tkwGeEL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0B7NK5SBF,0.0,0,39.1,False,0,Flashes
B09C8Z9N65,"YXJ C7 Sports Bracelet, Pedometer, Heart Rate, Blood Pressure, Blood Oxygen, Sleep Monitoring Message Reminder IP67",https://m.media-amazon.com/images/I/61CfteKoxrL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B09C8Z9N65,0.0,0,39.54,False,0,Sports & Outdoors
B07KXY32Q2,Gingerbread Man Christmas Bodysuit,https://m.media-amazon.com/images/I/61XQMobVJML._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B07KXY32Q2,0.0,0,14.99,False,0,"Handmade Clothing, Shoes & Accessories"
B0765V28MV,Bullyland 15464 Disney Mickey & Friends Figure Junior-Racer Donald,https://m.media-amazon.com/images/I/61dx94SRL6L._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0765V28MV,4.5,40,7.0,False,0,Kids' Play Figures
B0BT9SXMNB,BEAUTYBIGBANG Kawaii Cinnamoroll My Melody Plush Bag Cute Lolita JK Plush Figure Backpack School Handbag Cute Girl Bag My Melody Girl Gift Backpack Teddy Bag for Anime Fans,https://m.media-amazon.com/images/I/319jykvzLBL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0BT9SXMNB,3.9,5,15.49,False,0,School & Educational Supplies
B07GJ6M2Z4,Women's Side Zip Low Platform Chunky Heel Ankle Booties,https://m.media-amazon.com/images/I/71TKyM4NfzL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B07GJ6M2Z4,4.5,733,42.99,False,0,Customers' Most Loved
